359 428 535 1617 2848
cmin 0 0 0 2 1
21,334,000 0 0 0 0 1
694,000 0 0 0 0 1
13,710,000 0 0 0 0 1
5,129,000 0 0 0 0 1
111.9 0 0 0 0 1
476,000 0 0 0 0 3
perfect 0 1 0 1 0
408 1 0 0 1 1
buckstein 0 0 0 6 0
mf 0 0 0 0 5
mfm 0 0 0 0 1
13,300 0 1 0 0 0
butter 0 3 0 0 0
needi 0 1 0 0 0
chariti 0 1 0 0 0
all-year-round 0 1 0 0 0
72/78 0 1 0 0 0
520,000 0 2 0 0 1
ubis.l 0 0 0 0 1
19.1p 0 0 0 0 1
6.0p 0 0 0 0 1
5.15p 0 0 0 0 1
9.5p 0 0 0 0 1
8.0p 0 0 0 0 1
138.0 0 0 0 0 1
122.7 0 0 0 0 1
ub 0 0 0 0 3
78.4 0 0 0 0 1
39.1 0 0 0 1 3
unalloc 0 0 0 0 1
657.6 0 1 0 0 0
659.7 0 1 0 0 0
1,406.5 0 1 0 0 0
1,397.0 0 1 0 0 0
95.5 0 1 0 0 0
122.1 0 1 0 0 0
122.0 0 1 0 0 1
fernand 0 0 1 0 0
intiti 0 0 1 0 0
ire 0 0 0 0 1
23.4 0 0 0 0 2
272.0 0 0 0 0 1
5,534,000 0 0 0 0 1
830.2 0 0 0 0 1
657.9 0 0 0 0 1
7,490,000 0 0 0 0 1
5,557,000 0 0 0 0 1
4,570,000 0 0 0 0 1
6,330,000 0 0 0 0 1
extinquish 0 0 0 0 2
31.0 0 0 0 0 1
norton 0 0 0 10 0
nrt 0 0 0 1 0
disproportion 0 0 0 1 0
tiom 0 0 0 1 0
afrcian 0 0 0 1 0
makd 0 0 0 1 0
same-stor 0 0 0 0 1
abercrombi 0 0 0 0 1
fitch 0 0 0 0 1
calend 1 0 0 0 1
63.4 0 0 0 0 1
6.54 0 1 0 0 1
47.6 0 0 0 0 2
3,705,000 0 0 0 0 1
63.7 0 0 0 0 2
m0 0 0 11 0 0
m3 0 0 5 0 0
greenwel 0 0 1 0 0
pretend 0 0 1 0 0
bootl 0 0 1 0 0
manoeuvr 0 1 1 0 0
secretli 0 0 1 0 0
irrelev 0 0 1 0 0
wit 0 0 1 0 1
altogeth 0 0 1 0 0
technitrol 0 0 0 0 2
tnl 0 0 0 0 2
cmfb 0 0 0 1 0
birdair 0 0 0 2 0
odc 0 0 0 2 0
silicone-co 0 0 0 1 0
fiberglass 0 0 0 1 0
architecur 0 0 0 1 0
design-engin 0 0 0 1 0
chauvco 0 0 0 0 1
tssi 0 0 0 0 1
62,986 0 0 0 0 1
174,158 0 0 0 0 1
720,906 0 0 0 0 1
907,542 0 0 0 0 1
277,852 0 0 0 0 1
94,263 0 0 0 0 1
2,247,374 0 0 0 0 1
2,030,390 0 0 0 0 1
531,840 0 0 0 0 1
188,362 0 0 0 0 1
1,249,000 0 0 0 0 2
620,000 0 1 0 0 2
10,800,000 0 0 0 0 1
d-wisc 0 0 1 0 0
harsco 0 0 0 0 2
hsc 0 0 0 0 2
7-11/16 0 0 1 0 0
clo 0 0 0 0 1
6.48 0 0 0 0 1
110.6 0 0 0 0 1
74.0 0 0 0 0 2
3.87 0 0 0 0 3
501.0 0 0 0 0 1
776.0 0 0 0 0 2
w.a 0 0 0 2 0
anti-trust 0 0 0 3 0
unreason 0 0 0 2 0
56,900,000 0 0 0 0 1
46,400,000 0 0 0 0 1
89.3 0 0 0 0 1
185,900,000 0 0 0 0 1
141,300,000 0 0 0 0 1
creb 0 0 0 2 0
declaratori 0 0 0 3 0
cormier 0 0 0 3 0
odilon 0 0 0 1 0
navon 0 0 0 2 0
cormier-navon 0 0 0 1 0
allign 0 0 0 1 0
487.50 0 0 0 0 1
559.59 0 0 0 0 1
274.28 0 0 0 0 1
302.15 0 0 0 0 1
264.32 0 0 0 0 1
300.99 0 0 0 0 1
30,865 0 0 0 0 1
kg 0 0 0 0 3
30,236 0 0 0 0 1
846.05 0 0 0 0 1
907.36 0 0 0 0 1
358.56 0 0 0 0 1
347.77 0 0 0 0 1
27,371 0 0 0 0 1
29,964 0 0 0 0 1
gldf.j 0 0 0 0 1
uni.a 0 0 0 1 0
286,500 0 0 0 1 0
962,400 0 0 0 1 0
mann 0 0 0 1 0
675,900 0 0 0 1 0
34.782 0 0 0 1 0
34.750 0 0 0 1 0
1.143 0 0 2 0 0
393 0 0 1 0 0
649 0 0 1 0 0
wako 0 0 0 0 1
1,084 1 0 0 0 1
brighten 0 0 0 0 1
scat 0 0 0 0 2
hovercraft 0 0 0 0 1
perini 0 0 0 0 2
pnv 0 0 0 0 1
bitc 0 0 0 1 0
goldhirsh 0 0 0 1 0
prime-2 0 0 0 1 0
28-1/8 0 0 0 1 0
elsinor 0 0 0 0 3
elx 0 0 0 0 1
39,598,000 0 0 0 0 1
24,152,000 0 0 0 0 1
87.9 0 0 0 0 1
888 0 0 0 0 1
817 0 0 0 0 1
15.87 0 0 0 0 1
glidden 0 0 0 0 1
clement 0 0 0 0 2
5,378,000 0 0 0 0 1
5,401,000 0 0 0 0 1
80.3 0 0 0 0 1
toss 0 0 0 1 0
atorino 0 0 0 1 0
baffl 0 0 0 1 0
156-1/2 0 0 0 1 0
mcalpin 0 0 0 3 0
hemdal 0 0 0 7 0
dali 0 0 0 1 0
11,109,190 0 0 0 1 0
1,734,000 0 0 0 1 0
intel 0 0 0 1 0
intc 0 0 0 1 0
fintel 0 0 0 1 0
92,917 0 0 0 0 1
104,038 0 0 0 0 1
5,091,000 0 0 0 0 1
1,255,000 0 0 0 0 1
684,000 0 0 0 0 1
700,086 0 0 0 0 1
1,079,165 0 0 0 0 1
385,000 0 0 0 0 1
lima 0 1 0 2 0
piura 0 1 0 0 0
pima 0 1 0 0 0
dam 0 1 0 0 0
catch 0 2 0 0 0
cooler 0 1 0 0 0
averi 0 0 0 0 10
avri 0 0 0 0 1
peltz 0 0 0 0 2
uniroy 0 0 0 0 2
489,000 0 0 0 0 1
22nd 0 0 0 0 1
118-year 0 0 0 0 1
geographi 0 0 0 0 1
ketchup 0 0 0 0 1
falloff 0 0 0 0 3
watcher 0 0 0 0 1
940 0 0 0 0 1
heinz-uf 0 0 0 0 1
heinz-japan 0 0 0 0 1
seoul-heinz 0 0 0 0 1
imagin 1 0 0 0 1
hoffman 0 3 0 1 0
vernon 0 1 0 1 0
mcminimi 0 3 0 0 0
virateck 0 0 0 0 1
1,868,000 0 0 0 0 1
183,000 0 0 0 0 2
entex 0 0 0 0 2
eed 0 0 0 0 2
imc 0 0 0 0 1
lfg 0 0 0 0 1
ccom 0 0 0 0 1
405,914 0 0 0 0 1
145,380 0 0 0 0 1
2,446,901 0 0 0 0 1
1,295,187 0 0 0 0 1
1,211,465 0 0 0 0 1
178,101 0 0 0 0 1
9,085,222 0 0 0 0 1
4,995,735 0 0 0 0 1
fhsi 0 0 0 1 0
fh 0 0 0 1 0
metroplex 0 0 0 1 0
minsitri 1 0 0 0 0
colon 2 0 0 0 0
tumaco 3 0 0 0 0
intek 0 0 0 0 1
idcc 0 0 0 0 1
98,20000 0 0 0 0 1
91,898 0 0 0 0 1
2,843,520 0 0 0 0 1
2,372,457 0 0 0 0 1
401,179 0 0 0 0 1
681,374 0 0 0 0 1
9,699,535 0 0 0 0 1
maverick 0 0 0 0 1
mavr 0 0 0 0 1
2,475,739 0 0 0 0 1
68,691 0 0 0 0 1
3,689,770 0 0 0 0 1
3,292,733 0 0 0 0 1
2,472,582 0 0 0 0 1
112,936 0 0 0 0 1
diod 0 0 0 0 1
dio 0 0 0 0 1
27,490 0 0 0 0 1
89,687 0 0 0 0 1
2,899,189 0 0 0 0 1
2,785,931 0 0 0 0 1
78,038 0 0 0 0 1
184,062 0 0 0 0 1
8,785,918 0 0 0 0 1
8,273,913 0 0 0 0 1
renaiss 0 0 0 0 1
4,757,000 0 0 0 0 1
2,466,000 0 0 0 0 2
12,638,000 0 0 0 0 1
9,782,818 0 0 0 0 1
9,437,270 0 0 0 0 1
conant 0 0 0 3 0
953.2 0 0 0 0 1
lesco 0 0 0 0 1
lsco 0 0 0 0 1
982,779 0 0 0 0 1
104,418 0 0 0 0 1
kab 0 0 0 0 1
3,930,000 0 0 0 0 1
155.8 0 0 0 0 1
113.7 0 0 0 0 1
9,127,000 0 0 0 0 1
tubular 0 0 0 0 1
4,246,000 0 0 0 0 1
40.47 0 0 0 0 2
18.72 0 0 0 0 2
shi 0 0 0 1 1
2-7/8 0 0 0 1 0
155-3/4 0 0 0 1 0
chanci 0 0 0 1 0
crazi 0 0 0 1 1
avatar 0 0 0 0 1
avtr 0 0 0 0 1
2,599,000 0 0 0 0 1
550,000 0 3 0 0 3
1,405,000 0 0 0 0 1
3,538,000 0 0 0 0 1
traget 0 0 2 0 0
u.s/japan 0 0 2 0 0
narrowli 0 0 2 0 0
fwf 0 0 0 1 0
hrok 0 0 0 0 1
187,000 0 0 0 0 1
12.23 0 0 0 0 1
1,439,000 0 0 0 0 1
1,701,000 0 0 0 0 1
1,721,900 0 0 0 1 0
1,565,900 0 0 0 1 0
subordi 0 0 0 0 1
waldbaum 0 0 0 0 2
shopwel 0 0 0 0 2
tengelmann 0 0 0 0 1
warenhandelsgesellschaft 0 0 0 0 1
oapec 4 0 0 0 0
abdelaziz 2 0 0 0 0
al-wattari 11 0 0 0 0
/oapec/opec 1 0 0 0 0
unviabl 1 0 0 0 0
fadhil 1 0 0 0 0
full-fledg 1 0 0 0 0
euro-arab 1 0 0 0 0
rodney 0 0 0 1 0
cntr 0 0 0 0 3
cyrpu 0 1 0 0 0
39.32 0 1 0 0 0
342.7 0 0 0 1 0
uniut 0 0 0 1 0
rosewood 0 0 0 5 0
oil-bear 0 1 0 0 0
dryland 0 1 0 0 0
meixian 0 1 0 0 0
shaanxi 0 1 0 0 0
gansu 0 1 0 0 0
mondanto 0 0 0 1 0
g.d 0 0 0 2 0
searl 0 0 0 4 0
debt-to-capit 0 0 0 1 0
underscor 0 0 1 1 0
3,466,000 0 0 0 0 1
volt 0 0 0 0 2
50-100 0 2 0 0 0
1986-88 0 2 0 0 0
long-rang 1 1 0 0 0
market-ori 0 2 0 0 0
asamera 0 0 0 0 3
sahlen 0 0 0 4 0
salnu 0 0 0 1 0
gleason 0 0 0 5 0
invetig 0 0 0 1 0
tri-stat 0 0 0 1 0
reed.l 0 0 0 1 0
rosehaugh 0 0 0 1 1
lockup 0 0 0 2 0
359 0 0 0 0 1
10.90 0 0 0 0 1
10.72 0 0 0 0 1
10.50 1 0 0 0 2
anacomp 0 0 0 8 9
aac 0 0 0 2 1
datagraphix 0 0 0 6 7
gd 0 0 0 2 1
microgrpah 0 0 0 1 0
ventra 0 0 0 4 0
3.90/4.0 0 0 1 0 0
primebank 0 0 0 0 2
pmbk 0 0 0 0 1
309,000 0 2 0 0 5
kaufhof 0 0 0 4 0
hapag-lloyd 0 0 0 6 0
kfhg.f 0 0 0 1 0
hplg.f 0 0 0 1 0
drsd.f 0 0 0 1 1
838,069 0 0 0 0 1
433,875 0 0 0 0 1
1,080,068 0 0 0 0 1
1,793,398 0 0 0 0 1
4,004,826 0 0 0 0 1
3,172,537 0 0 0 0 1
1,387,500 0 0 0 0 1
334,463 0 0 0 0 1
6,456,882 0 0 0 0 1
5,605,680 0 0 0 0 1
3,542,217 0 0 0 0 1
3,071,456 0 0 0 0 1
winn-dixi 0 0 0 0 1
skylark 0 0 0 0 1
sklk.t 0 0 0 0 1
65.44 0 0 0 0 1
73.30 0 0 0 0 1
4.19 0 0 0 0 1
9.77 0 0 0 0 1
9.65 0 0 0 0 1
103.53 0 0 0 0 1
94.39 0 0 0 0 1
70.05 0 0 0 0 1
11.20 0 0 0 0 1
113 0 1 0 0 1
burdett 0 0 0 7 0
nolex 0 0 0 2 0
34.97 0 2 0 0 1
stryker 0 0 0 2 0
stri 0 0 0 1 0
hexcel 0 0 0 5 0
hxl 0 0 0 1 0
540,000 0 0 0 0 1
1,890,000 0 0 0 0 1
birthday 0 0 2 0 0
anniversari 0 0 2 1 3
infanc 0 0 3 0 0
runaway 0 0 2 0 0
nearer 1 2 3 0 0
mint 0 0 2 0 0
ex-west 0 0 2 0 0
helmut 0 0 2 0 2
valeri 0 0 2 0 0
giscard 0 0 2 0 0
d'esta 0 0 2 0 0
decision-mak 0 0 2 0 0
jealous 0 0 2 0 0
lira 0 0 12 0 0
punt 0 0 1 2 0
highly-secret 0 0 2 0 0
corel 0 0 2 0 0
kredietbank 0 0 2 0 0
jewelmast 0 0 0 0 5
jem 0 0 0 0 2
1,750,000 0 0 0 2 2
147.55/65 0 0 1 0 0
dalton 0 0 0 0 3
dalt 0 0 0 0 1
157,500 0 1 0 0 1
60,200 0 0 0 0 1
223,400 0 0 0 0 1
260,800 0 0 0 0 1
ayll.l 0 0 0 2 0
vmlpz 0 0 0 0 2
montli 0 0 0 0 2
upstat 0 0 0 2 0
npd 0 0 0 0 1
3.8050 0 0 1 0 0
3.9050 0 0 1 0 0
38.39 0 0 1 0 0
3.8241 0 0 1 0 0
3.9246 0 0 1 0 0
disqualif 0 0 1 0 0
paperwork 0 0 2 0 0
1.026 0 0 1 0 0
11-1/4 0 0 2 0 0
shawmut 0 0 0 0 1
sha 0 0 0 0 1
regulari 0 0 0 0 1
oec 0 0 0 1 0
1,205 0 0 0 1 0
megawatt 0 0 0 1 0
high-interest 0 0 0 1 0
cvgt 0 0 0 1 0
oakleaf 0 0 0 4 0
envoy 2 0 1 0 0
zverev 2 0 0 0 0
kuna 2 0 0 0 0
suliman 1 0 0 0 0
maje 1 0 0 0 0
al-shaheen 1 0 0 0 0
test-fir 1 0 0 0 0
hojatoleslam 2 0 0 0 0
akbar 2 0 0 0 0
hashemi 2 0 0 0 0
rafsanjani 3 0 0 0 0
artilleri 2 0 0 0 0
500.6 0 0 0 0 1
170.9 0 0 0 0 1
53-week 0 0 0 0 1
10.93 0 0 0 0 1
131.06 0 0 0 0 1
122.14 0 0 0 0 1
54.3 0 0 0 0 1
10.99 0 0 0 0 1
990 0 0 0 0 1
wrap 0 0 0 1 0
catapult 0 0 0 2 0
leagu 0 0 0 2 0
backer 0 0 0 2 0
televison 0 0 0 1 0
defint 0 0 0 1 0
movi 0 0 0 2 0
dwarf 0 0 0 1 0
weari 0 0 0 1 0
motion-pictur 0 0 0 1 0
nine-month 0 0 0 0 1
hillenbrand 0 0 0 0 1
hb 0 0 0 0 1
167.2 0 0 0 0 1
4.2621 0 0 0 0 1
3.2384 0 0 0 0 1
january-march 0 0 0 0 1
questionnair 0 0 0 0 1
8,328 0 0 0 0 1
first-half 1 0 0 0 1
mannesmann 0 0 0 23 8
fichtel 0 0 0 13 1
mmwg.f 0 0 0 3 1
lodg 1 2 0 2 0
precautionari 0 0 0 1 0
heir 0 1 0 2 0
grandson 0 0 0 1 0
35.01 0 0 0 1 0
salzgitt 0 0 0 3 0
islg.f 0 0 0 1 0
24.98 0 0 0 2 1
inherit 0 0 0 2 0
pentron 0 0 0 2 0
wmk 0 0 0 0 1
ptmi 0 0 0 0 2
74,000 0 0 0 1 3
624,000 0 0 0 0 2
36,000 0 1 0 0 1
hard-lin 0 0 1 0 0
newcor 0 0 0 0 1
1,629,000 0 0 0 0 1
roof 0 0 1 1 1
point/wendi 0 0 0 1 0
fizz 0 0 0 1 0
untru 0 0 0 2 0
ignit 0 0 0 1 0
anheuser-busch 0 0 0 1 0
atlanta-bas 0 0 0 2 0
jay 1 0 0 2 0
vaguer 0 0 0 1 0
doyl 0 0 0 1 1
fumbl 0 0 0 1 0
high-pric 0 0 0 1 0
murren 0 0 0 3 0
c.j 0 0 0 1 0
debt-to-equ 0 0 0 1 2
carolin 0 0 0 2 0
gut 0 0 0 1 0
fountain 0 0 0 6 0
pepsi 0 0 0 3 0
soda 0 0 0 1 0
tenney 0 0 0 0 1
tni 0 0 0 0 1
86,469 0 0 0 0 1
325,937 0 0 0 0 1
5,119,637 0 0 0 0 1
6,390,995 0 0 0 0 1
354,820 0 0 0 0 1
1,148,476 0 0 0 0 1
rigg 0 0 0 0 1
sandox 0 0 0 1 0
northrup 0 0 0 1 0
below-six 0 0 1 0 0
1,366,000 0 0 0 0 1
6,287,000 0 0 0 0 1
251.3 0 0 0 0 1
5,552,000 0 0 0 0 1
827.5 0 0 0 0 1
434.4 0 0 0 0 1
amt 0 0 0 0 5
8,308,000 0 0 0 0 1
7,774,000 0 0 0 0 1
6,806,000 0 0 0 0 1
5,770,000 0 0 0 0 1
2,778,000 0 0 0 0 1
ine 0 0 0 0 1
automatix 0 0 0 0 1
aitx 0 0 0 0 1
2,195,000 0 0 0 0 1
5,777,000 0 0 0 0 1
7,851,000 0 0 0 0 1
5,594,000 0 0 0 0 1
tenera 0 0 0 0 3
tlpzv 0 0 0 0 1
expectd 0 0 0 0 1
taxabl 0 0 0 0 6
parastat 0 0 1 0 0
zimoil 0 0 1 0 0
actp 0 0 0 0 1
526,000 0 0 0 0 1
thyssen 0 0 0 0 12
thyh.f 0 0 0 0 2
steel-mak 0 0 0 0 2
dieter 0 0 0 2 9
spethmann 0 0 0 0 7
370.1 0 0 0 0 2
stahl 0 0 0 0 3
5,900 0 0 0 0 1
cavali 0 0 0 0 1
cavh 0 0 0 0 1
191,465 0 0 0 0 1
193,799 0 0 0 0 1
7,160,945 0 0 0 0 1
6,576,670 0 0 0 0 1
2,000,565 0 0 0 0 1
1,400,000 0 0 0 1 3
605,725 0 0 0 0 1
694,785 0 0 0 0 1
1,840,692 0 0 0 0 1
ofd 0 0 0 0 1
1,768,000 0 0 0 0 2
hectolitr 0 1 0 0 0
mcmc 0 0 0 0 1
definitv 0 0 0 1 0
minority-own 0 0 0 1 0
alton 0 0 0 1 0
flour-usda 0 1 0 0 0
internatio-muel 0 0 0 2 0
intn.a 0 0 0 1 0
promac 0 0 0 3 0
internatio 0 0 0 2 0
electrotechn 0 0 0 1 0
mini-refund 0 0 3 0 0
slumber 0 0 1 0 0
auspici 0 0 1 0 0
sideway 0 0 2 0 0
backdrop 1 0 1 0 0
cloudi 0 0 1 0 0
pall 0 0 1 0 0
buy-sid 0 0 1 0 0
braverman 0 0 5 0 0
impetu 0 0 1 0 0
appetit 0 0 1 0 0
wane 0 0 1 0 0
re-weight 0 0 1 0 0
higher-yield 0 0 1 0 0
shorter-d 0 0 1 0 0
ecomom 0 0 1 0 0
enliven 0 0 1 0 0
quarter-end 0 0 1 0 1
truli 0 0 0 2 0
minerals-produc 0 0 0 1 0
4-mar-1987 0 0 0 0 2
42.66 0 0 0 0 2
poison-pil 0 0 0 1 0
tele 0 0 0 7 0
16th 0 0 0 1 0
warranti 0 0 0 2 1
represenmt 0 0 0 1 0
enzon 0 0 0 7 0
awb 0 22 0 0 0
1989/90 0 1 0 0 0
dutch-bas 0 0 0 2 0
jointly-own 1 0 0 1 0
vof 0 0 0 1 0
maastricht 0 0 0 1 0
455,000 0 2 0 1 1
polystyren 0 0 0 0 2
dye 0 0 0 0 1
styren 0 0 0 0 1
roussel 0 0 0 0 1
uclaf 0 0 0 0 1
rucf.pa 0 0 0 0 1
jc 0 0 0 0 1
98-3/4 0 0 0 0 1
639 0 0 0 0 1
158 2 0 0 0 1
8.25-to-8.50 0 0 0 0 1
7.06 0 0 0 0 2
craftmatic/contour 0 0 0 0 2
crcc 0 0 0 0 1
loan-rat 0 1 0 0 0
kernel 0 6 0 0 0
5.87 0 1 0 0 0
5.12 0 1 0 0 0
5.22 0 1 0 0 0
1986-crop 0 1 0 0 0
farm-stor 0 1 0 0 0
703 0 0 0 0 1
wichita 0 0 0 7 1
wro 0 0 0 1 1
fga 0 0 0 1 0
13.89 0 0 0 0 1
ccimf 0 0 0 1 0
prefeas 0 0 0 1 0
aati 0 0 0 0 1
nwa 0 0 0 0 10
pci 0 0 0 1 2
tomaso 0 0 0 0 1
dtom 0 0 0 0 1
8,862,000 0 0 0 0 1
4,391,000 0 0 0 0 1
221.6 0 0 0 0 1
265.3 0 0 0 0 1
peltier 0 0 0 2 0
439 1 0 0 1 0
nugget 0 0 0 6 1
gng.n 0 0 0 1 0
325-unit 0 0 0 1 0
113.2 0 0 0 1 0
369.4 0 0 0 1 0
456.2 0 0 0 1 0
liquiid 0 0 0 0 1
milastar 0 0 0 0 1
mila 0 0 0 0 1
44,000 0 0 0 0 1
bcv 0 0 0 2 0
rebuk 0 0 0 1 0
unfriendli 0 0 0 2 0
affirm 1 0 0 2 0
non-diversifi 0 0 0 1 0
virgin 0 0 0 1 0
consciou 0 1 0 1 1
submiss 1 3 0 1 0
lower-qu 0 1 0 0 0
segreg 0 1 0 0 0
uniform 0 1 1 2 0
imped 0 2 0 1 0
irrespect 0 1 0 0 0
nsw 0 2 0 0 0
newcastl 0 1 0 0 0
geelong 0 1 0 0 0
impedi 0 1 0 0 0
state-bas 0 1 0 0 0
appendix 0 1 0 0 0
34,700 0 1 0 0 0
50,000-tonn 0 1 0 0 0
21,200 0 1 0 0 0
16,300 0 1 0 0 0
cartier 0 1 0 0 0
60,000-tonner 0 1 0 0 0
751,000 0 0 0 0 1
2,273,000 0 0 0 0 2
almaden 0 0 0 3 0
vineyard 0 0 0 1 0
heublein 0 0 0 2 0
champagn 0 0 0 1 0
brandi 0 0 0 1 0
lefranc 0 0 0 1 0
cellar 0 0 0 1 0
4,644,000 0 0 0 0 1
2.48 0 0 0 0 1
638.9 0 0 0 0 1
573.1 0 0 0 0 1
10,771,260 0 0 0 0 1
10,355,728 0 0 0 0 1
485,380 0 0 0 0 1
speed-o-print 0 0 0 0 2
sbm 0 0 0 0 1
102,000 0 0 0 0 1
1,695,000 0 0 0 0 1
488,000 0 0 0 0 1
4,774,000 0 0 0 0 1
wjye-fm 0 0 0 0 1
wnnr-am 0 0 0 0 1
sharon 0 0 0 4 0
brass 1 0 0 1 0
14.25 0 0 0 3 0
engelhard 0 0 0 0 4
splf 0 0 0 0 1
58,388 0 0 0 0 1
34,101 0 0 0 0 1
2,419,203 0 0 0 0 1
2,145,967 0 0 0 0 1
61,763 0 0 0 0 3
172,166 0 0 0 0 1
5,731,582 0 0 0 0 1
4,458,040 0 0 0 0 1
47,470 0 0 0 0 1
1,387,000 0 0 0 0 1
2,532,000 0 0 0 0 1
hfi 0 0 0 1 0
such.t 0 0 0 0 1
4.91 0 0 0 0 2
6.59 1 0 0 0 1
7.72 0 0 0 0 1
16.81 0 0 0 0 1
20.84 0 0 0 0 1
45.56 0 0 0 0 1
52.02 0 0 0 0 1
734.50 0 0 0 0 1
996.15 0 0 0 0 1
csw 0 0 0 0 1
934,685 0 0 0 0 1
1,465,153 0 0 0 0 1
254 0 0 1 1 1
cda 0 0 0 1 0
ui 0 0 0 2 1
furnish 0 0 0 1 0
manafactur 0 0 0 1 0
sigma 0 0 0 0 2
sigr 0 0 0 0 1
532,376 0 0 0 0 1
15,584 0 0 0 0 1
1,899,719 0 0 0 0 1
2,432,256 0 0 0 0 1
1,521,002 0 0 0 0 1
30,145 0 0 0 0 1
3,235,907 0 0 0 0 1
5,276,119 0 0 0 0 1
flbk 0 0 0 0 2
ultrasystem 0 0 0 0 2
ul 0 0 0 0 2
2,102,000 0 0 0 0 2
1,415,000 0 0 0 0 2
1,678,000 0 0 0 0 3
7,105,000 0 0 0 0 2
155.1 0 0 0 0 3
eqica 0 0 0 0 1
7,030,000 0 0 0 0 1
4,944,000 0 0 0 0 1
126.6 0 0 0 0 1
120.9 0 0 0 0 1
9,864,000 0 0 0 0 1
425.1 0 0 0 0 1
416.9 0 0 0 0 1
4,224,000 0 0 0 0 1
6,253,000 0 0 0 0 1
5,180,000 0 0 0 0 1
778,000 0 0 0 0 2
9,214,000 0 0 0 0 2
3,504,000 0 0 0 0 1
moni.mi 0 0 0 2 0
pcri 0 0 0 3 0
renato 0 0 0 1 0
ugo 0 0 0 2 0
stanford 0 0 0 1 0
menlo 0 0 0 1 0
somerset 0 0 0 0 1
sosa 0 0 0 0 1
2,512,000 0 0 0 0 2
7,123,000 0 0 0 0 1
3,098,000 0 0 0 0 1
417.7 0 0 0 0 1
251.1 0 0 0 0 1
230.1 0 0 0 0 1
366.1 0 0 0 0 1
205.2 0 0 0 0 1
muo 0 0 0 0 1
190.9 0 0 0 0 2
150.4 0 0 0 0 2
5.24 0 0 0 0 3
5.38 0 0 0 0 1
294.3 0 0 0 0 1
242.6 0 0 0 0 1
337.6 0 0 0 0 1
84.6 0 0 0 0 1
tilney 0 0 0 2 0
50-day 0 0 2 0 0
14,600 0 0 2 1 0
dissatisfi 0 0 0 4 0
1,647,481 0 0 0 1 0
curacao 0 0 0 1 0
fulwid 0 0 0 2 0
sensormat 0 0 0 2 2
snsr 0 0 0 1 1
checkrobot 0 0 0 3 0
ckrb 0 0 0 1 0
repo 0 0 2 0 0
2,877,000 0 0 0 0 2
1,363,000 0 0 0 0 1
475,000 0 1 0 0 2
intraocular 0 0 0 0 1
infusaid 0 0 0 0 1
78,000 0 0 0 0 4
krelitz 0 0 0 0 1
krlz 0 0 0 0 1
136,000 1 1 0 0 1
274,000 0 0 0 0 1
102.4 0 0 0 0 2
vhc 0 0 0 0 1
vhcl 0 0 0 0 1
387,832 0 0 0 0 1
29,312 0 0 0 0 1
6,872,630 0 0 0 0 1
835,010 0 0 0 0 1
441,836 0 0 0 0 1
2,135,909 0 0 0 0 1
1,885,909 0 0 0 0 1
378,000 0 0 0 0 2
715,000 0 0 0 0 2
75,809 0 0 0 0 1
146,061 0 0 0 0 1
whippl 0 0 0 0 3
macedon 0 0 0 2 0
refelect 0 0 0 1 0
ujb 0 0 0 1 0
704 0 0 0 1 0
bank/fidel 0 0 0 2 0
pennsauken 0 0 0 1 0
bank/south 0 0 0 1 0
silverstein 0 0 0 1 0
counter-bid 0 0 0 2 0
62.08 0 0 0 1 0
249.9 0 0 0 1 0
laps 1 0 0 2 0
darwin 0 1 0 1 0
43.75 0 0 0 1 0
mereeni 0 0 0 1 0
oil-ga 0 0 0 1 0
copani 1 0 0 0 0
dh 0 0 0 0 1
120,800,000 0 0 0 0 1
150,100,000 0 0 0 0 1
255,000,000 0 0 0 0 1
280,500,000 0 0 0 0 1
9.26 0 0 0 0 1
8.26 0 0 0 0 1
booksel 0 0 0 0 1
85.2 0 0 0 0 1
ommeren 0 0 0 3 0
ommn.a 0 0 0 1 0
lgt 0 0 0 1 0
1.5-2.0 0 0 2 0 0
breslub 0 0 0 2 0
rerefin 0 0 0 2 0
garag 0 0 0 1 0
fremont 0 0 0 0 1
frmi 0 0 0 0 1
6,629,000 0 0 0 0 1
7,932,000 0 0 0 0 1
9.68 0 0 0 0 1
1,028,000 0 0 0 0 2
com-tel 0 0 0 1 0
dispers 0 0 0 1 0
filipino 0 0 0 2 0
vine 0 0 0 14 1
vulcan 0 0 0 12 0
wpma.mel 0 0 0 0 1
21.31 0 0 0 0 1
26.42 0 0 0 0 1
10.84 0 0 0 0 1
19.15 0 0 0 0 1
17.17 0 0 0 0 1
101.99 0 0 0 0 1
125.18 0 0 0 0 1
65.13 0 0 0 0 1
9.55 0 0 0 0 1
7.61 0 0 0 0 1
72.39 0 0 0 0 1
103.04 0 0 0 0 1
25.75 0 0 0 0 1
21.49 0 0 0 0 1
93.7 0 0 0 0 1
bermuda 0 0 0 0 1
servicemast 0 0 0 1 3
svm 0 0 0 1 1
mcivor 18 0 0 0 0
10-15 1 0 0 0 0
one-on 1 0 0 0 0
thousandth 1 0 0 0 0
cantarel 1 0 0 0 0
particulartli 1 0 0 0 0
deped 1 0 0 0 0
worlkd 1 0 0 0 0
whippani 0 0 0 3 0
npn 0 0 0 2 0
tca 0 0 0 0 1
tcat 0 0 0 0 1
134.54 0 0 0 0 1
100.63 0 0 0 0 1
8.05 0 0 0 0 1
11.76 0 0 0 0 1
9.59 0 0 0 0 1
mcintyr 0 0 0 8 0
